Model_Name,Raw_Price,launchdate,Clean_Price_INR
Honda ZR-V,Rs.  40.00 - 50.00 Lakh,Expected launch - July 2026 (Tentative),4000000
Mahindra Bolero 2026,Rs.  10.00 - 12.00 Lakh,Expected launch - August 2026 (Tentative),1000000
Nissan Tekton,Rs.  11.00 - 18.00 Lakh,Expected launch - 9th July 2026,1100000
Maruti 2026 Brezza,Rs.  8.90 - 14.00 Lakh,Expected launch - September 2026 (Tentative),890000
JSW Jetour T2,Rs.  30.00 - 45.00 Lakh,Expected launch - October 2026 (Tentative),3000000
VinFast VF 3,Rs.  7.50 - 10.00 Lakh,Expected launch - November 2026 (Tentative),750000
Tata Sierra EV,Rs.  20.00 - 25.00 Lakh,Expected launch - July 2026 (Tentative),2000000
Hyundai Stargazer,Rs.  9.60 - 17.00 Lakh,Expected launch - October 2027 (Tentative),960000
Mercedes-Benz S-Class Facelift,Rs.  1.85 - 2.00 Crore,Expected launch - 15th June 2026,18500000
Toyota New Land Cruiser FJ,Rs.  20.00 - 26.00 Lakh,Expected launch - October 2028 (Tentative),2000000
