Brand,Model_Name,Raw_Price,Clean_Price_INR,Market_Segment
HONDA,Honda ZR-V,Rs.  40.00 - 50.00 Lakh,4000000,Premium (20L-40L)
MAHINDRA,Mahindra Bolero 2026,Rs.  10.00 - 12.00 Lakh,1000000,Budget (Under 10L)
NISSAN,Nissan Tekton,Rs.  11.00 - 18.00 Lakh,1100000,Mid-Range (10L-20L)
MARUTI,Maruti 2026 Brezza,Rs.  8.90 - 14.00 Lakh,890000,Budget (Under 10L)
JSW,JSW Jetour T2,Rs.  30.00 - 45.00 Lakh,3000000,Premium (20L-40L)
VINFAST,VinFast VF 3,Rs.  7.50 - 10.00 Lakh,750000,Budget (Under 10L)
TATA,Tata Sierra EV,Rs.  20.00 - 25.00 Lakh,2000000,Mid-Range (10L-20L)
HYUNDAI,Hyundai Stargazer,Rs.  9.60 - 17.00 Lakh,960000,Budget (Under 10L)
MERCEDES-BENZ,Mercedes-Benz S-Class Facelift,Rs.  1.85 - 2.00 Crore,18500000,Luxury (40L+)
TOYOTA,Toyota New Land Cruiser FJ,Rs.  20.00 - 26.00 Lakh,2000000,Mid-Range (10L-20L)
